point_id,source_dataset,old_label,action,new_label,scores_used,reason
work-gdpval-24d1e93f-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-2696757c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-27e8912c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-2c249e0f-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-2d06bc0a-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-2ea2e5b5-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-2fa8e956-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-327fbc21-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3600de06-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-36d567ba-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3940b7e7-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3a4c347c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3baa0009-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3c19c6d1-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3f625cb2-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-3f821c2d-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-401a07f1-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-403b9234-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-40a8c4b1-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-40a99a31-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4122f866-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-41f6ef59-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4520f882-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-45c6237b-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-46b34f78-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-46bc7238-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-476db143-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-47ef842d-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4b98ccce-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4c18ebae-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4c4dc603-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4d1a8410-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4d61a19a-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-4de6a529-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-5349dd7b-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-552b7dd0-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-55ddb773-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-575f8679-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-57b2cdf2-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-58ac1cc5-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-5a2d70da-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-5ad0c554-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-5d0feb24-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-5f6c57dd-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-60221cd0-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6074bba3-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-61717508-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-61b0946a-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-61e7b9c6-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-61f546a8-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6241e678-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-62f04c2f-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6436ff9e-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-650adcb1-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-664a42e5-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-68d8d901-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6974adea-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-69a8ef86-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6a900a40-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6d2c8e55-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-6dcae3f5-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-7151c60a-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-74d6e8b0-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-74ed1dc7-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-76418a2c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-76d10872-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-772e7524-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-788d2bc6-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-7b08cd4d-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-7bbfcfe9-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-7d7fc9a7-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-7de33b48-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-7ed932dd-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8077e700-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8079e27d-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-81db15ff-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8314d1b1-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8384083a-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-83d10b06-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-84322284-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-854f3814-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-85d95ce5-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-87da214f-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8a7b6fca-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8c823e32-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8c8fc328-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-8f9e8bcd-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-90edba97-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-90f37ff3-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-91060ff0-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-93b336f3-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-94925f49-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-99ac6944-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-9a0d8d36-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-9a8c8e28-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-9e39df84-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-9e8607e7-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-9efbcd35-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a0552909-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a079d38f-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a0ef404e-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a10ec48c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a1963a68-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a328feea-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a45bc83b-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a46d5cd2-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a4a9195c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a69be28f-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a73fbc98-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a74ead3b-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a95a5829-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a97369c7-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-a99d85fc-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-aa071045-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-aad21e4c-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-ab81b076-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-ae0c1093-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
work-gdpval-afe56d05-opus5,GDPval / GDPval-AA v2,above,above,above,AA panel Elo 1735 vs expert deliverables anchored at 1000,"collection-level AI-panel transfer; the expert still delivers the professional artifact, so the Elo gap is a preference margin, not a job-completion gap"
